# domega dtau
-3.505186275568267229e-02 -5.926751824623444076e-02
-7.695320774697357591e-02 -2.479112014611118131e-01
-3.260564042768269305e-02 -5.712936307847034378e-02
-3.407685246505828824e-02 3.334032541660258975e-03
-7.505841716968723876e-02 -5.031623339551393598e-02
-9.491478619247424586e-02 -2.026539340228331876e-01
3.658808386582700772e-02 -1.214050121713604879e-01
4.592155509057815194e-02 7.965133080889552630e-02
5.837655348267467570e-02 3.696942347933963036e-01
1.211026984721050442e-01 -3.858947336185024612e-01
1.803821666214529829e-01 -2.965377323949425770e-01
1.078228177874625271e-01 1.246826175410220006e-01
-2.004358325760785195e-02 5.589145070704120144e-01
-2.796477548422542370e-01 -1.640238127918428046e-01
-1.331363734902500096e-01 -1.058480381163149353e-01
-8.581555123042329536e-02 -4.144289021204088930e-01
6.131289302805851410e-02 -1.226172267029399521e-01
2.570629366429078716e-02 2.060859581068630320e-02
3.107888588796910850e-02 -4.724053220445308399e-01
-4.653944757345123556e-02 -3.562932663943693679e-01
2.990317874577756718e-02 -5.179559244120628403e-01
-3.289314985997027901e-02 2.603890590789952331e-01
2.828463198295094044e-02 -1.747858832616615010e-01
-3.777196287147268489e-02 3.666040960570889351e-01
-3.373027923077439039e-01 -5.685827289832232623e-01
-3.301158308113422146e-02 -3.644809913737425688e-01
-5.985406033062163483e-02 -4.380492583647814797e-01
-4.946156079954133061e-02 2.828010314547361181e-01
-6.338892360144958438e-02 -2.870868925181050413e-01
-5.803471784309885417e-02 -2.248844463119020198e-01
-5.455821073101515539e-01 -5.840976620769211536e-01
-1.535674022850975207e-01 -4.078468613673478238e-01
1.361531663816949178e-02 -3.971702859326022850e-01
-1.088984060983181901e-01 3.600399778102231219e-02
-1.124920421258646247e-01 -5.455436456232611864e-01
7.329785713727120927e-03 -1.279921493922914211e-01
-2.084208791997989654e-02 1.978181776026192162e-01
-1.855883341095859035e-03 -3.555346833470015566e-01
1.072533874701171869e-01 -5.131307992911479099e-01
1.241449443070795078e-01 -3.811006027308205812e-01
-6.513363634873914343e-02 -7.212491976425171591e-01
3.930124628802728753e-02 1.627860574309354380e-01
-1.018310251538672717e-01 -1.954980234895540847e-01
5.021901527528267739e-02 -7.134774146570194153e-02
1.475008175910641137e-02 1.006074706476144803e-01
-1.814803069803538060e-01 -3.543246766718867735e-01
-3.473598800415226423e-02 -4.284352118605254667e-01
-2.820467647009471945e-01 -3.716665285218300196e-01
-5.385897127257693179e-02 -2.954189005108727173e-01
-5.430701329558353108e-02 1.242869731016842394e-01
-1.599083579236978969e-03 -2.049464734918844677e-01
-4.672945456484550210e-03 -2.078302832247139187e-01
2.436091600654444189e-02 -9.468921266618360311e-02
2.735123177879413697e-02 -2.847887831443743356e-01
-7.823345991837599156e-02 -6.152373601715055429e-03
5.127367312418957407e-02 1.758897747249349441e-02
-3.999771130050196188e-02 -1.514103231774516917e-02
-4.322806949062872328e-01 -3.486476650236248753e-01
-7.679805104986781039e-03 -3.275313598759086453e-01
-2.358576499422257444e-01 -4.636824270801147563e-01
-4.812226165343896217e-02 -2.757199200100030612e-01
-1.576417168055463947e-01 -3.968193939723456687e-01
-3.559772447898230663e-01 -2.981437852111650244e-01
-1.120657192648512601e-01 7.487272774102789186e-02
-4.308113418865233690e-01 -1.748685826450758207e-01
1.300377500132552169e-02 -2.941894172609876845e-01
-2.787407748696320992e-02 1.421372258803444422e-01
-5.804716684145813481e-03 9.597598757772919653e-04
-1.807115881680724789e-01 -3.223736631601460401e-01
-5.896781840656983159e-02 3.471151823747619658e-01
-1.009993784540342554e-01 2.833293256558349071e-01
-3.275227132291339688e-02 -3.549590303312462058e-01
-1.580555583839255429e-01 -9.475002141269961431e-02
-1.459202933532376401e-01 -5.464450217238712160e-01
2.005573946671723728e-01 -4.671985494435184072e-01
-1.807395193347251516e-01 -4.156727367019477093e-01
-1.577831368677475310e-01 -2.833353460610871233e-01
6.782707377871416421e-02 2.733456998181157394e-01
3.127235444971492029e-02 2.939311712731802056e-02
-4.540071135223665288e-02 -2.520756361569656545e-01
-1.055997849675956585e-01 -1.782556810321983265e-01
-1.681735559395176882e-01 -2.040796001539855187e-01
-1.857145029420724791e-01 -4.094833678360946250e-01
4.365145144166063251e-02 3.319334347758231551e-01
2.603708137354044522e-02 3.154261224412440168e-01
-1.288355702445921902e-01 -4.818681861325420090e-01
-1.026066776795059032e-01 3.317345753355049887e-01
8.695821392374517012e-02 9.696282641123219470e-01
-1.416324652849476340e-01 -1.854287038546090227e-01
-2.814932844104653942e-01 -3.069309393555119669e-01
-4.088772315781130096e-01 -2.846352980734428995e-01
