# omega_modGR tau_modGR
1.503499860279960785e+03 4.883282203017812705e-03
1.832756240944675483e+03 2.734111297050500090e-03
1.647057586384266415e+03 4.989424022643707338e-03
1.620062776345250995e+03 3.190650576619024834e-03
1.707798603031053744e+03 4.379037371702452358e-03
1.097681811723090959e+03 2.617427272711280502e-03
9.143774981860752860e+02 4.642586299056158071e-03
1.537800116898889200e+03 3.884058090850773214e-03
1.498571837529529830e+03 3.132783007150955271e-03
1.614849198441650742e+03 3.904218972215375144e-03
1.569164025574997140e+03 3.031459449858272832e-03
1.606733953166820584e+03 3.272890961276399280e-03
1.071528229323212827e+03 1.697583002930483668e-03
1.580127134102392802e+03 3.936501266975716076e-03
1.542315196694917404e+03 3.924318069725262446e-03
1.431687995142944374e+03 5.558530624508472608e-03
1.241476743742869530e+03 3.588702988636035054e-03
1.755044478097922365e+03 2.524517992782073991e-03
1.638258812701908028e+03 3.618070064288072402e-03
1.801981155114068770e+03 2.213552145954434443e-03
1.565707506182358429e+03 3.947462565894711839e-03
1.607774496619276306e+03 2.665451890644059043e-03
1.712344666204935720e+03 2.194815736161064967e-03
9.602840138134805557e+02 2.435693089378118247e-03
1.648748048655846560e+03 3.048420784269015218e-03
1.659019120450496985e+03 4.960017449601769601e-03
1.475757644727298157e+03 4.004514437612882380e-03
1.320181045767211799e+03 4.305498367451605218e-03
1.641444286412439169e+03 3.229064031689583489e-03
1.437915333475555371e+03 2.919855868690136164e-03
1.728699347972583155e+03 2.423416227317520561e-03
1.538984611223511138e+03 3.234694225638467743e-03
1.537197626737536666e+03 4.549367663826611209e-03
1.512113460435652541e+03 5.477697134255570324e-03
1.636792951183943160e+03 1.678057595548087134e-03
1.461045840170170777e+03 3.108873789603220760e-03
1.602438527653526990e+03 2.367609712064647383e-03
1.633547297117099788e+03 3.339565295035597584e-03
1.514079138030628656e+03 2.039231965652283252e-03
1.578185238926027523e+03 4.222640952702105301e-03
1.661287961348524732e+03 3.613486778142957143e-03
1.723562382003088942e+03 4.998273119660771001e-03
1.569611653357801060e+03 5.356607738177082169e-03
1.618842181360367931e+03 3.309368229485770696e-03
1.472575189241664020e+03 2.629465310210115508e-03
1.485899057972805167e+03 2.060906945882024551e-03
1.380111834344699901e+03 2.832604163960563293e-03
1.675315058818543093e+03 1.606681033951792327e-03
1.404253932581231538e+03 2.028362853730549496e-03
1.261028912090115455e+03 2.572906870123447490e-03
1.674378128678910571e+03 3.393459266196805629e-03
1.545692343327152912e+03 2.912080355037087020e-03
1.625123389890665294e+03 4.239691890105349963e-03
1.669211690666150616e+03 5.964827474996017148e-03
1.547000794367197841e+03 3.525251385735670914e-03
1.516425247771956492e+03 4.554631937371523241e-03
1.777018273178238815e+03 2.053402377438843813e-03
1.125441600237030116e+03 2.797066461112462845e-03
1.578240961028876200e+03 5.994935558754155638e-03
1.538998672517578825e+03 3.081659646190608882e-03
1.537893505146779489e+03 4.140587694727114638e-03
1.720545242154252264e+03 3.495742653261149635e-03
1.495849880399721997e+03 3.432154996535795050e-03
1.632568440510502796e+03 3.444273592259854740e-03
