# mf_modGR af_modGR
5.157206491370651236e+01 1.357771027897841654e-01
6.234751394887160814e+01 5.916104981141354635e-01
6.446497916033412423e+01 6.457769245694405802e-01
6.247882572057211803e+01 5.354355511847932458e-01
5.319965733459576285e+01 1.975797854538238196e-01
6.349464925896689493e+01 5.293587076429517868e-01
7.280111025591403973e+01 7.357539652120717033e-01
8.119628499266396204e+01 8.572002053766692997e-01
4.429450759576546659e+01 1.144345087648790393e-02
4.809538698969480208e+01 5.119977427057722519e-01
7.368839928681144613e+01 7.879833626729629836e-01
8.983089376865116549e+01 8.732369716245279578e-01
5.347780877579776870e+01 -4.665046292115553328e-01
6.080447912903303376e+01 3.924368209331398072e-01
3.901420699043715956e+01 -7.051333435522491033e-01
6.003542835180009973e+01 6.603470838816791755e-01
6.681802703686973643e+01 7.487781061455358600e-01
3.577351978598998272e+01 -5.695348898897998335e-01
4.714418704063744769e+01 -2.390637223609592965e-02
3.073186379306556404e+01 -1.029478991930263376e+00
7.742317856064055093e+01 8.319155621070950524e-01
5.890979875774951324e+01 5.735751358741321138e-01
8.072347250615699465e+01 8.567976280110415344e-01
-4.106186297094712501e+01 -2.371562606853179389e+01
4.623485630402985436e+01 9.051784443704247174e-03
3.887112009843507110e+01 -5.668326712022511149e-01
7.782326066387030039e+01 8.392710053062577558e-01
5.234852280263875457e+01 2.224877296150180594e-01
5.616679601360253571e+01 3.855882636341098069e-01
nan nan
3.457380649057979127e+01 -1.209991598503154187e+00
4.113494850953380677e+01 -1.516357175941680513e-01
7.007416618437120803e+01 6.654741612072494483e-01
1.734499036586596787e+01 -3.294648252335472982e+00
6.037536992562498028e+01 6.274154722130902417e-01
7.265774961338057381e+01 8.158186384199316299e-01
4.584746797096044446e+01 9.220836244412278226e-02
3.222233729347146181e+01 -5.775839254436978543e-01
4.467394608621062702e+01 2.727861766952464073e-01
-4.910976027978757941e+01 -4.569068802955504083e+01
7.154720973193289524e+01 8.374660399865654359e-01
5.742249816693639275e+01 3.383390496026744687e-01
6.339540594445050203e+01 7.274930466671690743e-01
6.940459622751495772e+01 7.981296038396966663e-01
4.142735057230401452e+01 -7.930918041569114951e-01
3.908651688976955541e+01 -4.160929543387157370e-01
2.274272208936654138e+01 -3.118890282815147685e+00
5.053089566934229993e+01 1.768925860417838170e-01
7.191191870897763749e+01 7.618894654730319349e-01
5.612962498588540683e+01 4.886721373965250415e-01
5.597513404362378253e+01 4.793359435992583517e-01
6.100121142676240282e+01 6.583137335761612974e-01
5.088346671009406208e+01 3.618260457545431352e-01
6.724186188629110461e+01 6.456011637512157897e-01
6.468942513780706349e+01 7.607600763633216578e-01
6.590015137743006335e+01 6.739962032534583258e-01
9.046024653591349107e+00 -5.822523591679440003e+00
4.791949152623591601e+01 1.607946311158704455e-01
1.959077625639850950e+01 -3.391603660023861266e+00
5.161754065718674411e+01 2.426204200306867342e-01
3.102599720784741066e+01 -1.560574168303895171e+00
2.616150888967556298e+01 -3.153089267521342443e+00
7.013354853421233770e+01 6.550347355188265164e-01
4.175236973874991264e+01 -1.912685063695277243e+00
4.902252483526389426e+01 2.637579960726297301e-01
7.012639104373485566e+01 7.676955874985258443e-01
6.485946001447209142e+01 7.018911733593811153e-01
4.282755126872171303e+01 -6.072295374998148976e-01
7.708156663980128087e+01 8.296389769657578350e-01
7.679670080178821934e+01 7.858424146221345552e-01
4.337495333233302119e+01 -1.244970802804183929e-01
6.187523816349333572e+01 3.700250019217469211e-01
8.355874003934230743e+00 -5.265468948319518283e+00
3.674768418598155506e+01 -1.036934295315616872e-02
3.165936005325815827e+01 -1.622011546811290117e+00
4.421689045598499490e+01 -4.889063236069979279e-01
7.857696465523170559e+01 8.184173911281112934e-01
7.006653983548009990e+01 6.774437842166525225e-01
5.235824926448139394e+01 2.828659195162123163e-01
5.956997252987908809e+01 1.741769560295772790e-01
5.482839207350630062e+01 7.732680174936423789e-02
3.184649675173056949e+01 -1.584342859941431758e+00
8.013562729138230623e+01 8.408229318582343126e-01
7.946382465047385324e+01 8.324763899333851302e-01
2.021708651226670383e+01 -2.800881404057565138e+00
7.726552609492594570e+01 7.996594480766954227e-01
9.193152001267387163e+01 9.418505372731605929e-01
5.484826160129681938e+01 1.665392900299595969e-01
3.682558360558935107e+01 -1.514568891997156275e+00
2.258555383121016291e+01 -3.712148736193142895e+00
6.035084060058177613e+01 2.102555143541487981e-01
5.807763319638663546e+01 4.937549666137492910e-01
5.524768833261769885e+01 -3.991076727548295011e-01
3.475471304138777384e+01 -8.562319978031729395e-01
6.611851383989932174e+01 6.392286702351890337e-01
8.150778522098799783e+01 8.734312990096966267e-01
5.886459367206661852e+01 4.903361875577140205e-01
6.879672759049860531e+01 6.049324899681779444e-01
4.865684825749569598e+01 -3.210783563812906749e-01
3.079625779772752026e+01 -1.633159807183481860e+00
5.980763421977123784e+01 4.440891603473290372e-01
3.893121717510514657e+01 -2.275496799596425923e-01
5.603973438181691336e+01 4.112630144496524087e-01
3.265904659556515099e+01 -1.477338333859484543e+00
5.061876429926569188e+01 2.231507457391082028e-01
4.529336012262182720e+01 3.464827017081822946e-01
-6.214497288862602176e+01 -3.139227546096390142e+01
2.655601023275805161e+01 -1.571668337492611922e+00
5.606826041635692093e+01 4.034457143492424791e-01
4.042209222857290030e+01 -8.431642378821939676e-01
7.353523283230752838e+01 8.176875681859784306e-01
5.160163374274707593e+01 3.200541737934768927e-01
7.192286650537108983e+01 7.832359187831072767e-01
5.221609420047575867e+01 3.530602727458851398e-01
5.038843402615088252e+01 -9.873808922887694628e-02
6.656153721638840182e+01 5.172908686939454714e-01
5.495120536450964721e+01 2.832558208388458176e-01
5.863176716755068441e+01 3.007459427685271747e-01
4.883212622191069840e+01 9.617212760933402382e-02
6.084300772761752540e+01 2.666153198412698488e-01
7.694568911029929836e+01 8.276481596982648847e-01
7.197722959617195215e+01 7.253078624626956294e-01
4.387433813338443400e+01 -7.700688913493558552e-02
6.749288433441427060e+01 7.698136089363314394e-01
7.393244032606914118e+01 8.021671092706824657e-01
7.193489310918846513e+01 7.626058273964454459e-01
7.554967683756653685e+01 8.512041662353966309e-01
6.653915903777681251e+01 6.879278764492101628e-01
5.366071565625941986e+01 3.469251405157305346e-01
6.737105466041097657e+01 6.730694622822813722e-01
7.760627987929592564e+01 8.500117896483009305e-01
7.244472627282077326e+01 7.943095991096967845e-01
7.334711994302094240e+01 8.058934296775847050e-01
4.727516341441603487e+01 -5.890947633555589924e-01
6.542860803541324799e+01 4.564395800912516288e-01
5.431800296620355084e+01 2.864654257550371952e-01
-1.196627253116533396e+01 -1.024544135891854779e+01
4.357858759428217610e+01 -2.755765792682720594e-01
7.534234265939785757e+01 5.368748736766283391e-01
4.375987627587184647e+01 -4.437131337869342218e-01
7.855971312065659617e+01 8.887488469904645250e-01
6.267835882039302220e+01 6.791800731255251966e-01
6.079323656387709462e+01 5.394087912257519157e-01
8.934709503583007972e+01 9.272268427755530062e-01
6.310363551256096315e+01 6.022463120060213004e-01
7.568557210995179219e+01 8.204251187617495056e-01
5.967849333479465201e+01 3.377804518097358155e-01
6.151360792615940198e+01 4.360352719771695140e-01
6.783210648355296257e+01 7.675643843985265891e-01
6.085533431417107408e+01 4.101628495983618006e-01
7.971654539869484779e+01 8.542096882072354180e-01
5.700472391337259381e+01 4.688826882866499179e-01
5.355694697070359922e+01 3.278846517591517129e-01
7.246344324017704253e+01 7.431516748358478752e-01
4.080069291519457408e+01 -2.715929309530071833e-01
3.305809914624224177e+01 -1.108434417395586902e+00
3.694716182528746629e+01 -4.829729117067187438e-01
4.643647087041753707e+01 -2.657870554611245772e-01
4.847566246929716982e+01 -1.930013446477512051e-01
5.108376416863877978e+01 1.131651727796528784e-01
5.814820044940618260e+01 4.057115795792960444e-01
-4.149569316272681618e+01 -2.357329469232868746e+01
9.096552124679072904e+01 9.305942660182546788e-01
8.866934099958044158e+01 9.255679531456766362e-01
7.422317408893808022e+01 7.675777595004262821e-01
7.201767371508233850e+01 8.168193780321980624e-01
6.412465322589362415e+01 4.544919035802559293e-01
5.882181943039868344e+01 3.572265934214147176e-01
8.006509461660623117e+01 8.239685170370844025e-01
6.966081281959414184e+01 8.236495498290563599e-01
