# freq_GR tau_GR
2.350488966972233129e+02 5.315372872356334370e-03
2.345677497630767618e+02 5.251796450484738470e-03
2.345341465304259714e+02 5.243416244407135898e-03
2.230820755942654614e+02 5.138727202839948015e-03
2.231044501063958876e+02 5.138283080645945217e-03
2.233599539622886709e+02 5.132810190757569266e-03
2.349080364425595349e+02 5.226948727923184761e-03
2.348408104441763555e+02 5.207860250837466169e-03
2.232492703767268551e+02 5.134039911577194769e-03
2.345876198010233225e+02 5.216793567572191453e-03
2.350067045853807599e+02 5.249060909786544549e-03
2.228736875243263000e+02 6.083765880404970808e-03
2.228126965771600112e+02 6.097962453946109175e-03
2.192456628230574438e+02 5.299964790334944949e-03
2.171242403358438651e+02 5.292419903830335691e-03
2.319065902558652965e+02 5.128937342215285702e-03
2.288091373160632429e+02 5.307577977082798305e-03
2.111220164008757934e+02 5.427556166549473045e-03
2.208796297873874437e+02 5.746565914176139656e-03
2.208653952607995734e+02 5.746752638863194054e-03
2.191148325163453023e+02 5.767040187979555720e-03
2.192741567042372708e+02 5.763495408612337965e-03
2.147039296067610792e+02 5.927396428342389043e-03
2.296711514443716453e+02 5.349366059866859230e-03
2.162892513025395260e+02 5.663243180090852050e-03
2.159046953703349061e+02 5.682946268131150447e-03
2.297018640261720179e+02 5.358517816274666924e-03
2.298364373469070756e+02 5.363879271100548476e-03
2.300733986424235695e+02 5.376860312966476318e-03
2.236904772441323246e+02 5.217032510939856316e-03
2.220681547780505980e+02 5.619512904520892332e-03
2.225052330012082678e+02 5.627973615708788298e-03
2.220838665619599226e+02 5.635740342324898657e-03
2.298218006953413237e+02 5.465881988353231413e-03
2.276666929827110550e+02 5.442657243603963441e-03
2.275417398145762888e+02 5.424358020371952173e-03
2.275269333551256352e+02 5.424673073379182586e-03
2.274928310723383049e+02 5.428542227802897815e-03
2.232525825991410784e+02 4.795339244562268899e-03
2.232261070413290156e+02 4.795042704195472127e-03
2.238346491657352715e+02 4.788807909639872067e-03
2.236892590223739319e+02 4.789957851684041937e-03
2.263377291855568103e+02 5.538987877727634054e-03
2.262158282829942948e+02 5.543012078053840240e-03
2.266688657483002203e+02 5.604974871309582191e-03
2.265591229273071008e+02 5.609100928172679017e-03
2.187654349531127309e+02 5.310292565995431389e-03
2.187735375478332571e+02 5.243519818654392844e-03
2.195677948679888516e+02 5.200990388998267579e-03
2.194377676496583831e+02 5.204277481181183648e-03
2.207507893462428115e+02 5.063415762676290975e-03
2.207805167270567779e+02 5.063462486372524197e-03
2.219184331552861806e+02 5.189625400509789190e-03
2.210763959319836260e+02 5.063208708944400178e-03
2.218066083803383322e+02 5.189425726284124102e-03
2.248186141459543990e+02 4.989960990980842406e-03
2.238459861854803421e+02 4.973962325688481567e-03
2.237685983344549641e+02 4.974967985996404593e-03
2.238480854385524026e+02 4.974473312925034064e-03
2.241448698070032037e+02 4.971212257447676919e-03
2.205184920533165496e+02 4.833803428118410746e-03
