# omega_modGR tau_modGR
1.947906861059942230e+03 2.326363177992368803e-03
1.530765052603758022e+03 7.535178719748912395e-03
1.594272001498796271e+03 2.609597967284425259e-03
4.474407209672294812e+03 1.221677451106851532e-03
9.942693954859965970e+02 4.204884719851440487e-03
1.473185840620031058e+03 3.154639037198256508e-03
1.473331222218764651e+03 4.446062492620033932e-03
1.517386730391731817e+03 6.165243505657908712e-03
1.518132106385797442e+03 5.048297721161714748e-03
1.447064250278777536e+03 4.087631674060053857e-03
1.538000129347294433e+03 5.071865340372131575e-03
1.588290868110971132e+03 4.408098565790086708e-03
1.880341966549203562e+03 3.583188819460317483e-03
1.980642545826692185e+03 4.073012374040584950e-03
1.543197121452078591e+03 4.582691822002283796e-03
1.885708330706629113e+03 4.553201814975186071e-03
1.508465535817275168e+03 3.368448973764919842e-03
1.479791346669520181e+03 5.885224819993043616e-03
1.526286518395898611e+03 7.910152480917502157e-03
1.541283516491998398e+03 5.222185526252521443e-03
1.675948355102712412e+03 4.653295719196559946e-03
1.985388857525511412e+03 4.194357433087708177e-03
1.844663281794482373e+03 3.271944665750567242e-03
1.939475810117096671e+03 4.550954431283163112e-03
1.823039292628097883e+03 4.548888646834984076e-03
1.658000416727084712e+03 4.010469994395815703e-03
1.654496144638552096e+03 4.900536533525718004e-03
1.598735238322856276e+03 5.370911740919780304e-03
1.768136062443384844e+03 6.175842515688322737e-03
1.765482890817651423e+03 5.857889815917703864e-03
1.763677923888298892e+03 3.922385415864015554e-03
1.476952583436858959e+03 3.854667959649629716e-03
1.630331253644231992e+03 4.414456208129579305e-03
1.685739058805644390e+03 5.552126455111934360e-03
1.671972781090241142e+03 4.362644482162798994e-03
1.670782766720293921e+03 4.302989500126798601e-03
1.789986659993860712e+03 5.288126106115235286e-03
1.611747397457106899e+03 4.205583319577890777e-03
1.631619839953711789e+03 4.216550788899454776e-03
1.645391022780043158e+03 4.122429624712552892e-03
1.661145359640946253e+03 4.474540821007890086e-03
1.604794558504992665e+03 2.765112196515870108e-03
1.714873524397519304e+03 2.735061324769910186e-03
1.609686580074515405e+03 3.044721120467711560e-03
1.599606011787891930e+03 7.179675620217848379e-03
1.780374319196028637e+03 2.778675662696183934e-03
2.003354580302959448e+03 2.686958544187673797e-03
1.581740539623807535e+03 3.900692025926640483e-03
1.666993853937705808e+03 3.842626714596000023e-03
1.586098008069345951e+03 3.730652803188041350e-03
1.620046997458296119e+03 4.318617732000701662e-03
1.554312943019360318e+03 4.780365213903736699e-03
1.473855538543326702e+03 4.951833289968686318e-03
1.935611965165652236e+03 3.525494939540685380e-03
1.738957584298195798e+03 3.587751669992225029e-03
1.610089285909639784e+03 7.411974094115833175e-03
1.671719639053988885e+03 4.864304447871680565e-03
1.685101875361433031e+03 5.140302701282237381e-03
1.686498295815421443e+03 4.324185410641470835e-03
1.577570339660992204e+03 4.525140936315841245e-03
1.724702079348332745e+03 4.458651059103313496e-03
1.632030970669899261e+03 3.675796834056597497e-03
1.933697783162333280e+03 3.850856664143691589e-03
1.586843608411179730e+03 6.420132039769987919e-03
1.633584801923880605e+03 4.006168929141094848e-03
1.660937128970881759e+03 3.994395486947834029e-03
1.656482081972939341e+03 3.593491864620177410e-03
1.823624635761835179e+03 3.389960534670020953e-03
1.823636114354205120e+03 4.030018641185259196e-03
1.500625594818193804e+03 3.508818496588530199e-03
1.541608872800339213e+03 3.839650302805694589e-03
1.636760159933576688e+03 3.937749733521908949e-03
1.633913911729709980e+03 3.824696630286861590e-03
1.683787211636542906e+03 4.330431955309353362e-03
1.590086697221430313e+03 3.027334149795211406e-03
1.467315052997790417e+03 3.037476499063322243e-03
