# azimuth cos_altitude psi t0 logA0 f0 tau0 phi0 logL logPrior
3.139171107181666809e+00 7.473245771685513850e-01 2.220073475330954338e+00 2.325683784323325995e-02 -2.117967716690412772e+01 6.099173141944940113e+01 1.702235758485190487e-02 6.257244084000295636e+00 7.905737837072338443e+05 0.000000000000000000e+00
2.851111790175226091e+00 9.216347838379298496e-01 2.947372207553027312e+00 2.498621237271991466e-02 -2.089850031832066435e+01 5.922641310997917685e+01 1.040599083651964039e-02 1.478222602757031767e+00 7.905738442902904935e+05 0.000000000000000000e+00
2.125586494452644803e+00 9.437318950173032572e-01 1.913151904800935110e+00 2.523091257679127911e-02 -2.080862757498220361e+01 5.830693596894201391e+01 1.204045813552546453e-02 5.552115621892504294e+00 7.905738613660882693e+05 0.000000000000000000e+00
2.884620140637288443e+00 7.572177351885059915e-01 1.555701560479499479e+00 2.278261297749762521e-02 -2.108607610817653111e+01 5.990213048547860808e+01 1.862035979003363179e-02 4.697584807984130251e+00 7.905738849001531489e+05 0.000000000000000000e+00
3.029098112424359002e+00 5.954545920419469507e-01 3.537862243813100216e-01 2.129979693869675159e-02 -2.119208666512691863e+01 5.754101024341313320e+01 1.651615674117317550e-02 2.457007783844550985e+00 7.905739244443476200e+05 0.000000000000000000e+00
3.236243031940203796e+00 3.929861651255101562e-01 1.077112929647985551e+00 1.954286080197763578e-02 -2.121852909219827410e+01 5.980301968048504335e+01 1.950968750636600593e-02 4.238607440812645955e+00 7.905739441801561043e+05 0.000000000000000000e+00
3.288210272306236970e+00 4.627494312631682538e-01 3.068862471016289284e+00 2.007126354588651546e-02 -2.121306625199176210e+01 5.958961607045230835e+01 1.818414561107051935e-02 1.783722996117903081e+00 7.905739620576791931e+05 0.000000000000000000e+00
2.377744218259457032e+00 8.851889876013058212e-01 2.109910752070193851e+00 2.387191702474388694e-02 -2.106443065730007547e+01 5.598214877319797012e+01 1.904105895432267603e-02 5.714365242536818990e+00 7.905739748127406929e+05 0.000000000000000000e+00
2.923859885139494352e+00 6.919657647544038559e-01 9.030227863974876756e-01 2.288267503013107981e-02 -2.105310833407040860e+01 5.939485383089193249e+01 1.307939119538874782e-02 3.464193242806579587e+00 7.905739926976731513e+05 0.000000000000000000e+00
2.554843924245792763e+00 8.654871627580531523e-01 1.407863725591139037e+00 2.530340200667560713e-02 -2.094367407523695590e+01 6.484520344926110624e+01 1.316088101032251469e-02 4.398292771983207672e+00 7.905741197103081504e+05 0.000000000000000000e+00
2.247191710812611376e+00 9.482527784419479966e-01 1.291089364765406033e+00 2.557748354438669006e-02 -2.062340385410091059e+01 6.355279723175340223e+01 1.309035185537424199e-02 4.295683955812617860e+00 7.905741343553485349e+05 0.000000000000000000e+00
2.498467036215452186e+00 9.223282657617476454e-01 2.305014444400678375e+00 2.591366181619942852e-02 -2.094662094292671739e+01 6.647180237247781065e+01 1.826856404228694927e-02 6.271178319416558011e+00 7.905741405740024056e+05 0.000000000000000000e+00
3.280967358978709392e+00 3.567360501695935882e-01 2.989787853509659588e+00 1.857335081017384704e-02 -2.132693872892716414e+01 5.893766165335983231e+01 1.638600009922313444e-02 1.782596388343028249e+00 7.905741666133312974e+05 0.000000000000000000e+00
